STATE,STATE_POP,CEN_LIB,BRAN_LIB,BK_MOB,MS_LIBRARIANS,LIBRARIANS,TOT_STAFF,LOC_GVT,ST_GVT,FED_GVT,OTH_INCOME,TOT_INCOME,SALARIES,STAFF_EXP,PR_MAT_EXP,EL_MAT_EXP,OTH_MAT_EX,TOT_EXP_CO,OTHO_P_EXP,TOT_OP_EXP,L_CAP_REV,S_CAP_REV,F_CAP_REV,O_CAP_REV,TOT_CAP_REV,CAPITAL,BOOKS,EBOOKS,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,CARDHOLDERS,TOT_CIR,EL_MAT_CIR,GPTERMS,PITUSR,FIPSST
AK,736399,84,16,1,60.51,109.47,313.71,31146025,724882,1432549,2946130,36249586,14592742,23587473,2099272,395311,570255,3064838,9238344,35890655,2219707,20746669,507104,698516,24171996,36222524,2439730,358779,685,4116,4801,5133,151471,3376309,336841,4625365,192174,904,795120,2
AL,4802740,221,75,13,314.88,759.96,1771.36,86202879,4783692,1029138,8866206,100881915,53483277,67145610,6413176,1443638,2662219,10519033,20472764,98137407,2504677,0,322763,4002461,6829901,7947146,9723150,1776750,951,15592,16543,9444,621630,16617640,2754535,20873534,1637385,5264,4757239,1
AR,2915918,53,164,1,139.38,264.28,982.67,61755127,5262565,116079,4438695,71572466,32408337,42017978,5868994,2083662,1896265,9848921,17057182,68924081,8997561,122334,0,934069,10053964,10759477,6578816,331532,600,2984,3584,8977,429331,10574105,1503721,14431248,-1,2376,2128528,5
AS,66692,1,1,0,1,8,11,0,365750,108000,15000,488750,278079,311664,25573,20313,7852,53738,129056,494458,0,0,0,0,0,0,39890,0,0,2,2,2,2236,59264,20843,25938,-1,20,6687,60
AZ,6581054,85,134,10,462.18,551.13,2084.98,163880320,1555009,2054104,7193830,174683263,76545071,104322286,13284623,6240291,5746939,25271853,45124844,174718983,4960120,123564,0,192386,5276070,2436336,8446171,1076863,1061,2366,3427,15202,483404,27606792,3376539,47617904,2683105,5571,6907502,4
CA,37966471,166,949,56,2946.97,3143.95,11360.43,1194546331,14497004,4437552,64033777,1277514664,550183236,813010604,65924295,20232843,18165107,104322245,288669243,1206002092,60939542,3701033,1272439,5051142,70964156,159402395,67640760,1761806,3911,149,4060,101562,2201530,165501141,21596165,227597939,7537069,21030,34723633,6
CO,5188683,97,155,13,610.25,864.73,2995.73,259111301,1098831,944413,15516150,276670695,126638649,161349093,15979931,8195866,9731416,33907213,61154746,256411052,17887723,88356,6485,3249134,21231698,30495721,10823244,1228287,2038,0,2038,21433,603480,32772334,3517109,65668877,3614215,6021,7003013,8
CT,3590347,193,46,4,759.42,1108.24,2316.56,170408243,1574377,542628,23407162,195932410,114233113,146998034,12710409,3405406,3239556,19355371,35991933,202345338,3155440,1753999,457000,1183530,6549969,7871895,15264395,1004857,1602,5036,6638,23073,544395,23092578,1735150,32696879,696606,4371,4912738,9
DC,632323,1,25,0,158,158,540.9,41582857,0,996121,429386,43008364,25058825,30594083,1945866,1300000,465000,3710866,8342035,42646984,23026976,0,0,0,23026976,16728489,1802305,80939,77,0,77,2309,65208,2477389,315737,3295485,287295,1000,855338,11
DE,917060,19,13,2,62.14,115.55,329.93,19051605,3944742,12274,1369265,24377886,12276009,16503739,1802744,230090,607753,2640587,5160293,24304619,496140,6709099,0,4336317,11541556,12036436,1642391,263193,51,735,786,4559,83385,3717974,417577,6109223,158685,714,638282,10
FL,19526504,60,469,26,1648.89,1912.1,6068.51,440961767,22684687,1450152,22201811,487298417,226749613,305373675,34153573,14376835,10348513,58878921,146927910,511180506,43093431,95344,140527,261271,43590573,42565759,31350819,1481712,1963,4080,6043,49306,1251876,78893035,10635179,120986377,11841985,16386,18953732,12
GA,10660977,61,330,16,605,605,2699,158661697,24810951,388176,11239648,195100472,92178734,128450128,10740417,2523958,2748006,16012381,34190858,178653367,27112634,9895447,50000,135939,37194020,29021522,16089310,272955,236,10065,10301,16515,825035,30987147,4756949,41451474,970168,8085,12993797,13
GU,159358,1,5,1,0,0,21,1145124,0,0,59336,1204460,614600,864065,5700,42083,0,47783,27431,939279,0,0,158345,0,158345,0,260586,0,2,0,2,74,8029,98969,59048,46448,0,832,29861,66
HI,1392313,1,49,2,172,174,555,0,26721479,1343101,2591172,30655752,20671528,20890036,1736893,985221,90271,2812385,6823267,30525688,0,5570000,0,0,5570000,4873749,3371766,15830,0,85,85,2787,91760,5153386,981460,6625551,171830,523,668625,15
IA,3090416,543,24,3,284.9,964,1688.45,105114549,2144335,58511,10285005,117602400,58424812,76349234,9503575,1800031,3402032,14705638,21202457,112257329,24154006,188432,386976,4081094,28810508,12185969,12033109,2916000,1030,7369,8399,31090,998451,18783522,2048147,28351216,1145028,4540,3584584,19
ID,1407299,100,44,12,92.65,213.31,761.39,43730254,1179496,60880,3834754,48805384,22462939,29572733,3658285,582489,651854,4892628,10587974,45053335,1481482,6815,22597,203400,1714294,6631849,4357460,78622,185,4590,4775,6351,276856,8898059,801245,14789151,526134,1812,2065537,16
IL,12830632,625,154,19,2109.32,3137.13,8634.66,703234516,32047049,3477496,38800305,777559366,365815272,457281595,49319438,17702592,13822368,80844398,163440247,701566240,66058521,1767171,167262,9406168,77399122,89200394,43400357,4265531,7622,13750,21372,100715,1921078,75531075,6814354,119391577,-1,14911,14557951,17
IN,6483802,237,195,29,950.41,1433.9,4416.7,274995673,19316931,981114,14813064,310106782,142499025,188201934,25545205,8318980,8453713,42317898,70766797,301286629,26158769,1681345,44485,1025696,28910295,32736772,24066234,2124076,2006,14694,16700,47691,1093741,36944165,3757048,77560456,8134837,8522,7770927,18
KS,2885905,328,48,3,261.15,665.69,1709.04,100577071,3684731,189912,11770106,116221820,56531530,72831608,7924610,2919819,3020534,13864963,25271220,111967791,1993910,0,0,1313772,3307682,2245378,9339647,121624,381,16728,17109,16107,683714,14228833,1686821,26315187,1343322,3659,3914295,20
KY,4380415,119,86,75,343.33,1158.9,2200.47,162585031,5494211,1106541,8474796,177660579,61679977,84893654,10780013,3886998,4128713,18795724,30791725,134481103,2468524,401500,258073,1738262,4866359,30991573,8878375,5351514,1210,3650,4860,30376,630503,19377816,2575787,30117115,1426816,4777,4645371,21
LA,4625470,68,270,25,443.35,1043.07,2609.58,212815689,5396083,524037,6479245,225215054,83181003,113517836,12663915,4687018,4388466,21739399,55961237,191218472,8409993,0,376399,28410,8814802,52097693,11649410,523986,623,5032,5655,27204,786903,16838235,2450520,20286867,-1,5198,6629527,22
MA,6584601,370,91,4,1239.71,1790.71,3702.75,242020548,6902975,660224,21105407,270689154,174382391,201938493,22663661,4977599,6823025,34464285,46847849,283250627,27847906,13589709,491989,7653740,49583344,37110180,32124590,3641624,4920,15170,20090,45028,905481,42544324,3336872,63517098,343899,6235,7760669,25
MD,5773552,14,174,19,642.24,1308.54,3359.91,191211728,48640593,770921,27717106,268340348,135460340,184869833,18976304,6212620,7288384,32477308,37607175,254954316,36437192,3073026,0,166800,39677018,32761426,12926952,1527589,550,216,766,27834,468268,28491536,3369292,57538130,-1,4824,6909651,24
ME,1328302,266,6,1,151.85,338.87,673.7,31700690,363631,56112,11092084,43212517,23782256,29550712,3236289,283660,658137,4178086,9583932,43312730,3694410,0,19766,5434430,9148606,7573773,6404097,1127476,17434,61,17495,9872,385829,7055329,761020,9551051,400004,1950,1313420,23
MI,9883640,384,257,9,1237.39,1786.15,4770.73,359366055,7273821,775252,22608015,390023143,172899613,237214903,25447265,6107673,9533644,41088582,91515620,369819105,7894418,52025,355389,4617517,12919349,25797766,33410694,2013134,1344,18551,19895,64112,1433976,52947161,5014084,86875002,4927497,11737,11580970,26
MN,5368972,128,228,8,534.51,741.38,2158.34,178142648,10322455,187784,18264445,206917332,97261220,129387724,14853487,4003330,4236511,23093328,48168222,200649274,17720042,0,0,691711,18411753,19983853,14779421,3299010,1007,5895,6902,26684,712043,25305752,4258248,54318274,3155676,5957,5813135,27
MO,6021988,140,223,24,281.24,823.13,3140.93,209926478,3683626,1816972,14681011,230108087,99004556,128255637,19034344,7687869,7353820,34076033,46670333,209002003,3065848,0,13275,725960,3805083,42178670,17194119,342116,1448,1632,3080,78975,905403,30299106,3323762,56141122,1911655,4917,6808351,29
MP,53883,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69
MS,2991207,49,186,2,124.3,684.13,1139.46,35745963,9553831,1307145,6151767,52758706,24137841,32246253,3095882,634823,674190,4404895,12291796,48942944,229078,30011,18750,109368,387207,784300,5686530,47942,189,2701,2890,7001,440356,9652486,1557245,8033915,107432,2702,2578203,28
MT,988533,82,32,4,67.2,184.33,362.27,23238550,277855,107950,1666796,25291151,12625039,16826675,1857224,452375,442086,2751685,4352876,23931236,11019145,68000,160000,99587,11346732,11663160,2630100,861509,134,2460,2594,4481,221156,4655040,482214,6257814,326525,1192,1524655,30
NC,9765229,69,315,25,717.03,758.79,2881.07,177235044,14040630,1675778,13356233,206307685,101880235,137513543,15134868,3095820,2682012,20912700,36341675,194767918,1385069,21221,214698,290515,1911503,22832002,16516721,2897629,487,5360,5847,22525,919045,35655287,5441968,52887956,1923426,7591,8582110,37
ND,723393,81,4,11,39.8,126.34,231.19,14576285,1220241,2857,1245134,17044517,7979380,10153339,1649186,360246,310080,2319512,3585202,16058053,324267,4114,23310,36814,388505,370257,2372102,300230,1739,2050,3789,3968,144531,2211560,274797,4168369,232669,740,590772,38
NE,1855525,267,19,7,116.09,353.22,797.26,50389219,545423,530380,3303379,54768401,26275053,34322365,4873230,1519117,1018108,7410455,9868905,51601725,1032868,0,14000,1647336,2694204,2454500,5919866,1819821,857,5353,6210,13687,446485,8648076,1046619,13385306,592962,2966,2264072,31
NH,1316470,230,5,0,213.19,465.07,800.45,51651588,34812,4646,4257315,55948361,31573096,41046510,4236050,744516,1074215,6054781,8933310,56034601,1030356,0,0,1290637,2320993,9854278,5957677,3141169,803,5278,6081,11647,385031,7527157,814407,10886298,586364,1441,1019560,33
NJ,8791894,296,145,12,1378.89,1412.76,4848.07,448175147,3768234,537577,20300445,472781403,231272242,325210938,28507193,5753212,8229489,42489894,83464445,451165277,16511364,21582,3664,854382,17390992,14852849,28590655,2189226,4250,8288,12538,48556,1183634,46701193,4490318,58993639,2086994,7875,10363620,34
NM,2085287,92,26,1,124.1,278.09,650.35,41566150,1620894,423419,2027620,45638083,20744637,28712318,4114772,1325924,1178789,6619485,8789448,44121251,5866720,608298,107176,964218,7546412,6210128,4311902,88270,351,4140,4491,6471,252265,7305862,951378,9201597,383026,1543,2132482,35
NV,2745164,18,69,3,167.98,208.56,776.71,64441807,20689322,1139303,3745380,90015812,39073547,53469713,6119934,1777221,2276704,10173859,13905064,77548636,17050,0,84465,46153,147668,977676,4127780,135641,175,756,931,6327,164037,10817924,1323599,20953287,830046,1383,2341853,32
NY,19378102,755,306,6,3243.7,4093.91,11727.58,1037531842,44776347,7987482,125459609,1215755280,581343206,838279851,59564263,19119792,16528247,95212302,221885720,1155377873,18490556,7988353,203963,50462586,77145458,95851878,70954927,9467822,12184,8316,20500,150656,2369944,111167172,10477671,153715101,9337170,18615,22903988,36
OH,11529465,238,472,55,1948.72,2850.56,8865.58,328276452,351301422,479252,78586461,758643587,331294486,436452443,46638430,18455233,32863507,97957170,140271628,674681241,9000,99467,0,194234443,194342910,84446245,43542589,30201183,4142,22591,26733,131041,1871538,86418753,8968809,185348458,10110357,12454,21344949,39
OK,3850568,117,94,2,289.89,665.72,1413.51,102603348,2334825,465174,4894639,110297986,53036948,70258729,9165003,2604163,3116489,14885655,22981093,108125477,9016630,11554,35488,2576232,11639904,10520955,7270854,999774,505,4095,4600,8925,496322,14177885,1994251,22873242,-1,3060,3881312,40
OR,3883735,127,93,8,390.78,481.38,1737.23,171228180,1196387,978416,10772662,184175645,79303411,120101204,10610863,3299873,3591561,17502297,41873643,179477144,7033648,1000,23184,1793378,8851210,10766352,9957503,3215673,1152,3120,4272,18008,419802,22356999,1996319,60596841,1479472,3118,4022036,41
PA,12702379,451,175,24,1198.32,1756.51,4764.63,215475111,56286099,1531044,58475205,331767459,156688942,211180439,22433059,6347376,5906196,34686631,76820010,322687080,3395332,3425025,6200,5382544,12209101,19193298,26391949,4173402,3849,6841,10690,47729,1448444,46093666,5242024,68285979,-1,8031,9778553,42
PR,3725789,58,76,1,13,58,281,3448905,120555,98579,142011,2256752,2832601,3323945,56351,20634,7200,45185,1093455,2609501,1231213,94059,170813,30889,1190941,1168558,258647,30696,190,1,191,72,169395,525628,54614,89398,19898,954,157912,72
RI,1051511,47,23,2,203.38,234.68,579.62,31698066,7705547,183790,6190761,45778164,24796554,33261071,2573583,518864,674977,3767424,7813413,44841908,563950,967925,38135,2179568,3749578,6323590,4364340,1036315,809,1632,2441,5662,158747,6120355,482176,7195883,-1,1449,1468742,44
SC,4652360,40,153,29,468.95,593.54,1870.9,114030474,6111092,330500,4649992,125122058,60532377,82179630,9814252,2428968,3865847,16109067,21609244,119897941,7487399,0,500000,103421,8090820,6710385,9205537,291232,434,1512,1946,14540,482271,18489563,2557911,26502478,1347804,4093,4921316,45
SD,844877,111,35,6,48.16,186.74,359.78,22773196,0,435500,831896,24040592,12257006,16015817,1900480,723329,517752,3141561,4218053,23375431,4585757,1482,44294,494371,5125904,4661606,2847529,747180,1771,4440,6211,4674,259808,4015874,401783,6983508,471328,992,1347827,46
TN,6293455,186,100,3,266.77,568.97,1774.69,102303595,342647,217589,7015174,109879005,54334898,71737601,9610108,2132940,1709585,13452633,19676147,104866381,2402651,102453,125000,459062,3089166,3856144,11640332,94594,471,12834,13305,12118,622426,20063205,3269396,25598411,-1,5018,5214908,47
TX,26059203,553,315,9,1649,2433.7,6712.64,447017965,93261,2955815,17653403,467720444,229197588,313451207,36924160,11388253,10377826,58690239,79853302,451994748,24524444,4950000,1466911,4647537,35588892,42352626,40096556,1917165,2446,26575,29021,52171,1884090,73617788,12986426,119511698,4658195,19251,17953429,48
UT,2855287,59,65,16,204.45,347.2,1254.87,94004330,1091722,599437,3706780,99402269,42363478,61050232,8954624,2814906,3265916,15035446,17800801,93886479,3675330,73344,583198,188587,4520459,4746103,6710732,424805,204,2952,3156,10855,308019,18500437,1779962,37365375,-1,1991,3096178,49
VA,8260405,81,278,23,872.81,968.34,3711.98,245822080,14452035,1680865,11591163,273546143,138294167,185429654,17729774,5783051,4799364,28312189,53551501,267293344,22618348,0,0,629013,23247361,26401432,18059238,1307040,827,364,1191,22235,897284,38403502,4632627,75802706,2442944,6674,7622270,51
VI,106405,0,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78
VT,624958,181,3,4,66.29,218.66,351.64,17011994,0,36314,3940454,20988762,12128584,15001227,1787484,232992,389045,2409521,5081138,22491886,2462307,17400,0,2762780,5242487,3881203,2980733,57468,241,2952,3193,6201,265672,3816219,339898,4633998,-1,1095,873488,50
WA,6882400,51,289,27,750.97,797.42,3697.02,367965506,169299,509748,12142260,380786813,182626847,247856180,26013022,14134193,8153501,48300716,64868977,361025873,5119028,0,0,1337996,6457024,28375264,14271346,1411527,966,600,1566,41794,758074,41881580,4153405,83998212,5980270,6106,11038464,53
WI,5717110,378,82,6,664.04,1121.14,3040.05,207850760,4336021,1013952,12301560,225502293,111623800,150450291,16497550,2095529,5937479,24530558,44791759,219772608,10216273,13074,886047,6048645,17164039,26662689,18997488,25776443,2646,16807,19453,41116,1070771,34663310,3464759,63034912,2205793,6289,6545969,55
WV,1852994,97,78,7,95.32,359,641.62,25447667,9792294,392030,3046315,38678306,16957213,22654077,3391431,884996,761695,5038122,7084175,34776374,261863,763875,392030,531068,1948836,3240710,5080525,2974057,308,1455,1763,6543,381126,5589090,914128,6395350,363224,1474,1181993,54
WY,576412,23,53,2,59.18,180.07,465.49,29367327,2100,7639,1428424,30805490,17316455,23520892,1858766,229978,633811,2722555,4888561,31132008,4428757,0,0,0,4428757,2051388,2459456,126522,71,1863,1934,4499,137810,3633418,382276,4983367,99678,862,907771,56
